id,group,route,parameter,symbol,unit,value_2026,classification,status,prospective_status,resolved_yaml_path,candidate_yaml_paths,notes
H-EC01,Economia,H2,Taxa de desconto / WACC real,r,p.u.,0.08,Parametro de entrada,A - Consolidado 2026,D - Driver prospectivo 2030-2050,economics.wacc_real,economics.wacc_real | economics.discount_rate,
H-EC02,Economia,H2,Horizonte economico,n,anos,20,Parametro de entrada,A - Consolidado 2026,Avaliar manutencao ou harmonizacao,economics.analysis_horizon_years,economics.analysis_horizon_years | economics.project_lifetime_years,
H-PV01,PV,H2,CAPEX PV,,USD/kW,1000.0,Parametro de entrada,A - Consolidado 2026,D - Driver prospectivo central,economics.capex.pv_usd_per_kw,economics.capex.pv_usd_per_kw,
H-PV02,PV,H2,OPEX fixo PV,,fracao CAPEX/ano,0.01,Parametro de entrada,A - Consolidado 2026,D - Prospectivo se houver fonte diferenciada,economics.opex_fixed.pv_fraction_of_capex_per_year,economics.opex_fixed.pv_fraction_of_capex_per_year,
H-B01A,BSV,H2,CAPEX modulo BSV,,USD/kWh,120.0,Parametro de entrada,A - Consolidado 2026,D - Driver prospectivo central,economics.capex.bsv_module_usd_per_kwh,economics.capex.bsv_module_usd_per_kwh,
H-B01B,BSV,H2,CAPEX repurpose BSV,,USD/kWh,60.0,Parametro de entrada,A - Consolidado 2026,D - Driver prospectivo / circularidade,economics.capex.bsv_repurpose_usd_per_kwh,economics.capex.bsv_repurpose_usd_per_kwh,
H-B01C,BSV,H2,CAPEX integracao BSV,,USD/kWh,40.0,Parametro de entrada,A - Consolidado 2026,D - Driver prospectivo,economics.capex.bsv_integration_usd_per_kwh,economics.capex.bsv_integration_usd_per_kwh,
H-B01D,BSV,H2,CAPEX BSV total,,USD/kWh,220.0,Parametro derivado,A - Derivado do YAML 2026,D - Resultado da soma dos componentes prospectivos,,,Modulo + repurpose + integracao.
H-B02,BSV,H2,OPEX fixo BSV,,fracao CAPEX/ano,0.02,Parametro de entrada,A - Consolidado 2026,D - Prospectivo se necessario,economics.opex_fixed.bsv_fraction_of_capex_per_year,economics.opex_fixed.bsv_fraction_of_capex_per_year,
H-B03,BSV,H2,SOC inicial BSV,SOC0,p.u.,0.5,Parametro de entrada,A - Consolidado 2026,Manter salvo sensibilidade,technology.battery.soc_init_fraction,technology.battery.soc_init_fraction | technology.bsv.soc_init_fraction,
H-B04,BSV,H2,SOC minimo BSV,SOCmin,p.u.,0.1,Parametro de entrada,A - Consolidado 2026,Manter salvo sensibilidade,technology.battery.min_soc_fraction,technology.battery.min_soc_fraction | technology.bsv.min_soc_fraction,
H-B05,BSV,H2,SOH inicial BSV,SOH0,p.u.,0.8,Parametro de entrada,A - Consolidado 2026,D - Pode evoluir tecnologicamente,technology.battery.soh_initial,technology.battery.soh_initial | technology.bsv.soh_initial,
H-B06,BSV,H2,Janela SOC util,DeltaSOC,p.u.,0.8,Parametro de entrada,A - Consolidado 2026,D - Sensibilidade tecnologica,technology.battery.usable_soc_window,technology.battery.usable_soc_window | technology.bsv.usable_soc_window,
H-B07,BSV,H2,RTE BSV,eta_RT,p.u.,0.85,Parametro de entrada,A - Consolidado 2026,D - Driver tecnologico,technology.battery.battery_roundtrip,technology.battery.battery_roundtrip | technology.bsv.battery_roundtrip,
H-B08,BSV,H2,C-rate maximo,Cmax,h^-1,0.9,Parametro de entrada,A - Consolidado 2026,D - Driver tecnologico,technology.battery.c_rate_max,technology.battery.c_rate_max | technology.bsv.c_rate_max,
